Solution # - Weight - Value - Score
0 - 1100 - 2200 - 2200.0
1 - 1049 - 2102 - 2102.0
2 - 999 - 1998 - 1998.0
3 - 1050 - 2099 - 2099.0
4 - 1097 - 2200 - 2200.0
5 - 1047 - 2101 - 2101.0
6 - 1099 - 2200 - 2200.0
7 - 1145 - 2296 - 2296.0
8 - 1094 - 2195 - 2195.0
9 - 1144 - 2295 - 2295.0
10 - 1098 - 2199 - 2199.0
11 - 1145 - 2298 - 2298.0
12 - 1096 - 2198 - 2198.0
13 - 1146 - 2297 - 2297.0
14 - 1090 - 2196 - 2196.0
15 - 1139 - 2295 - 2295.0
16 - 1089 - 2198 - 2198.0
17 - 1037 - 2096 - 2096.0
18 - 1090 - 2197 - 2197.0
19 - 1141 - 2293 - 2293.0
20 - 1094 - 2189 - 2189.0
21 - 1094 - 2189 - 2189.0
22 - 1146 - 2288 - 2288.0
23 - 1094 - 2189 - 2189.0
24 - 1094 - 2189 - 2189.0
