Solution # - Weight - Value - Score
0 - 101 - 202 - 202.0
1 - 51 - 101 - 101.0
2 - 100 - 209 - 209.0
3 - 150 - 309 - 309.0
4 - 101 - 201 - 201.0
5 - 150 - 309 - 309.0
6 - 200 - 413 - 413.0
7 - 250 - 509 - 509.0
8 - 300 - 610 - 610.0
9 - 251 - 502 - 502.0
10 - 200 - 401 - 401.0
11 - 150 - 297 - 297.0
12 - 199 - 405 - 405.0
13 - 149 - 305 - 305.0
14 - 201 - 401 - 401.0
15 - 252 - 502 - 502.0
16 - 202 - 401 - 401.0
17 - 152 - 305 - 305.0
18 - 101 - 204 - 204.0
19 - 151 - 300 - 300.0
20 - 99 - 204 - 204.0
21 - 150 - 305 - 305.0
22 - 200 - 409 - 409.0
23 - 259 - 505 - 505.0
24 - 208 - 404 - 404.0
25 - 158 - 300 - 300.0
26 - 208 - 404 - 404.0
27 - 149 - 308 - 308.0
28 - 199 - 408 - 408.0
29 - 149 - 304 - 304.0
30 - 201 - 400 - 400.0
31 - 260 - 496 - 496.0
32 - 211 - 388 - 388.0
33 - 211 - 388 - 388.0
34 - 261 - 489 - 489.0
35 - 202 - 393 - 393.0
36 - 253 - 494 - 494.0
37 - 203 - 398 - 398.0
38 - 152 - 297 - 297.0
39 - 201 - 405 - 405.0
40 - 201 - 405 - 405.0
41 - 251 - 501 - 501.0
42 - 201 - 400 - 400.0
43 - 252 - 501 - 501.0
44 - 200 - 405 - 405.0
45 - 252 - 501 - 501.0
46 - 201 - 400 - 400.0
47 - 260 - 496 - 496.0
48 - 208 - 400 - 400.0
49 - 158 - 300 - 300.0
50 - 109 - 192 - 192.0
51 - 158 - 300 - 300.0
52 - 208 - 404 - 404.0
53 - 158 - 308 - 308.0
54 - 208 - 404 - 404.0
55 - 258 - 504 - 504.0
56 - 208 - 404 - 404.0
57 - 158 - 308 - 308.0
58 - 108 - 204 - 204.0
59 - 108 - 204 - 204.0
60 - 158 - 308 - 308.0
61 - 99 - 212 - 212.0
62 - 151 - 308 - 308.0
63 - 201 - 408 - 408.0
64 - 151 - 304 - 304.0
65 - 201 - 405 - 405.0
66 - 252 - 506 - 506.0
67 - 202 - 406 - 406.0
68 - 152 - 305 - 305.0
69 - 100 - 209 - 209.0
70 - 150 - 309 - 309.0
71 - 209 - 405 - 405.0
72 - 259 - 509 - 509.0
73 - 200 - 413 - 413.0
74 - 252 - 509 - 509.0
75 - 202 - 409 - 409.0
76 - 202 - 409 - 409.0
